1,348208347,6,58034724.50,3,3,NO_MATCH
10,373575031,6,62262505.17,2,4,NO_MATCH
100,70923983,1,70923983.00,1,0,NO_MATCH
1000,231448383,3,77149461.00,1,2,NO_MATCH
101,322909902,5,64581980.40,3,2,NO_MATCH
102,94597540,1,94597540.00,1,0,NO_MATCH
103,209189903,5,41837980.60,2,3,NO_MATCH
104,1471022435,29,50724911.55,16,13,NO_MATCH
105,112745461,2,56372730.50,1,1,NO_MATCH
106,135975841,4,33993960.25,1,3,NO_MATCH
107,1496140900,28,53433603.57,14,14,NO_MATCH
108,233313299,5,46662659.80,4,1,NO_MATCH
109,118092857,2,59046428.50,1,1,NO_MATCH
11,98810561,2,49405280.50,2,0,NO_MATCH
110,669216949,16,41826059.31,6,10,NO_MATCH
111,492247278,10,49224727.80,5,5,NO_MATCH
112,248489626,5,49697925.20,2,3,NO_MATCH
113,114682514,3,38227504.67,1,2,NO_MATCH
114,194774324,6,32462387.33,2,4,NO_MATCH
115,78950845,2,39475422.50,1,1,NO_MATCH
116,147870964,5,29574192.80,1,4,NO_MATCH
117,59589857,1,59589857.00,1,0,NO_MATCH
118,414016409,7,59145201.29,4,3,NO_MATCH
119,145456242,2,72728121.00,1,1,NO_MATCH
12,109472995,3,36490998.33,2,1,NO_MATCH
120,113975039,2,56987519.50,1,1,NO_MATCH
121,95302297,1,95302297.00,0,1,NO_MATCH
122,95977819,1,95977819.00,1,0,NO_MATCH
123,89734083,2,44867041.50,1,1,NO_MATCH
124,1411869266,30,47062308.87,14,16,NO_MATCH
125,23564554,1,23564554.00,1,0,NO_MATCH
126,213239554,4,53309888.50,3,1,NO_MATCH
127,170144212,2,85072106.00,1,1,NO_MATCH
128,420519413,9,46724379.22,3,6,NO_MATCH
129,74664434,2,37332217.00,2,0,NO_MATCH
13,181169724,2,90584862.00,2,0,NO_MATCH
131,143399374,4,35849843.50,0,4,NO_MATCH
132,125950043,3,41983347.67,3,0,NO_MATCH
133,203115376,7,29016482.29,3,4,NO_MATCH
134,115821142,2,57910571.00,2,0,NO_MATCH
135,589489,1,589489.00,0,1,NO_MATCH
136,140727936,3,46909312.00,1,2,NO_MATCH
137,286611948,6,47768658.00,4,2,NO_MATCH
138,123078092,2,61539046.00,2,0,NO_MATCH
139,679105942,14,48507567.29,8,6,NO_MATCH
14,122184218,5,24436843.60,3,2,NO_MATCH
140,17220203,2,8610101.50,2,0,NO_MATCH
141,47535983,2,23767991.50,1,1,NO_MATCH
143,55759988,1,55759988.00,0,1,NO_MATCH
144,387969942,7,55424277.43,2,5,NO_MATCH
145,252208233,4,63052058.25,1,3,NO_MATCH
146,159783069,3,53261023.00,2,1,NO_MATCH
147,63745358,1,63745358.00,1,0,NO_MATCH
148,132370133,3,44123377.67,3,0,NO_MATCH
149,59596175,1,59596175.00,0,1,NO_MATCH
15,245612681,5,49122536.20,1,4,NO_MATCH
